dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-05-20,TSLA,342.09,336.3,343.0,333.37,349.98,-5.411764705882353,88869875,30174729833.5075,339.54,2.76,3220956211,3220956000.0,958615764093.13,1101856000000.0
2025-05-17,TSLA,349.98,346.24,351.62,342.33,342.82,-1.9288888888888889,95895688,33325250429.6034,347.52,2.98,3220956211,3220956000.0,980725093589.11,1127269000000.0
2025-05-16,TSLA,342.82,340.34,346.14,334.72,347.68,-1.6698564593301435,97882625,33355631458.1912,340.77,3.04,3220956211,3220956000.0,960661337338.1,1104208000000.0
2025-05-15,TSLA,347.68,342.5,350.0,337.0,334.07,-3.9071428571428575,136997250,47218598302.395,344.67,4.25,3220956211,3220956000.0,974279820099.3,1119861000000.0
2025-05-14,TSLA,334.07,320.0,337.59,316.8,318.38,0.21130221130221116,136992570,44915236093.9854,327.87,4.25,3220956211,3220956000.0,936141808181.86,1076024000000.0
2025-05-13,TSLA,318.38,321.99,322.21,311.5,298.26,0.3691683569979718,112826690,35802008441.7009,317.32,3.5,3220956211,3220956000.0,892174285213.11,1025487000000.0
2025-05-10,TSLA,298.26,290.21,307.04,290.0,284.82,-0.30074074074074075,132387820,39681212920.3284,299.73,4.11,3220956211,3220956000.0,835793715581.11,960682400000.0
2025-05-09,TSLA,284.82,279.63,289.8,279.41,276.22,-0.3411016949152542,97539438,27860988523.9372,285.64,3.03,3220956211,3220956000.0,798131886931.04,917392600000.0
2025-05-08,TSLA,276.22,276.88,277.92,271.0,275.35,-0.8971061093247589,71882438,19744084384.4434,274.67,2.23,3220956211,3220956000.0,774032440359.47,889691800000.0
2025-05-07,TSLA,275.35,273.11,277.73,271.35,280.26,-6.46875,76715813,21053659106.5973,274.44,2.38,3220956211,3220956000.0,771594834871.19,886890100000.0
2025-05-06,TSLA,280.26,284.57,284.85,274.4,287.21,0.3828571428571428,94618875,26418232362.1613,279.21,2.94,3220956211,3220956000.0,785353541316.85,902704630000.0
2025-05-03,TSLA,287.21,284.9,294.78,279.81,280.52,-1.9834710743801653,114454690,32978879379.2073,288.14,3.55,3220956211,3220956000.0,804828940957.38,925090440000.0
2025-05-02,TSLA,280.52,280.01,290.87,279.81,282.16,-1.2436974789915967,99659000,28364834955.1,284.62,3.09,3220956211,3220956000.0,786082149634.09,903542190000.0
2025-05-01,TSLA,282.16,279.9,284.45,270.78,292.03,4.827586206896552,128961070,35854735495.9213,278.03,4.0,3220956211,3220956000.0,790677529732.76,908824400000.0
2025-04-30,TSLA,292.03,285.5,293.32,279.47,285.88,-1.636094674556213,108906570,31052119726.3311,285.13,3.38,3220956211,3220956000.0,818335866866.5,940615300000.0
2025-04-29,TSLA,285.88,288.98,294.86,272.42,284.95,-0.8465116279069768,150311500,42491550419.425,282.69,4.67,3220956211,3220956000.0,801101748347.08,920806320000.0
2025-04-26,TSLA,284.95,261.69,286.85,259.63,259.51,28.6969696969697,167560690,46632925886.6361,278.3,5.2,3220956211,3220956000.0,798495868833.0,917810700000.0
2025-04-25,TSLA,259.51,250.5,259.54,249.2,250.74,-0.6428571428571429,92787063,23703384041.8506,255.46,2.88,3220956211,3220956000.0,727207229317.77,835869700000.0
2025-04-24,TSLA,250.74,254.86,259.45,244.43,237.97,0.5342857142857143,148814070,37667192379.306,253.12,,3216517037,,701663277199.62,
2025-04-23,TSLA,237.97,230.96,242.79,229.85,227.5,-0.14338919925512117,120858440,28669665684.2204,237.22,3.76,3216517037,3216517000.0,665928094570.25,765434250000.0
2025-04-22,TSLA,227.5,230.26,232.21,222.79,241.37,-2.25,97768000,22073844928.08,225.78,3.04,3216517037,3216517000.0,636629134548.23,731757250000.0
2025-04-18,TSLA,241.37,243.47,244.34,237.68,241.55,-0.9878260869565217,83404750,20095048376.975,240.93,2.59,3216517037,3216517000.0,675442523982.0,776370300000.0
